Customer Id,Customer_Name,Customer Segment,Total_Sales,Total_Profit,Order_Count,Cluster,Customer_Value_Tier
1,Richard Hernandez,Consumer,499.95,159.69,1,1,Tier 3: Low Margin/Volume Drivers
2,Mary Barrett,Consumer,1819.73,208.74,10,3,Tier 2: Core Accounts (Stable Value)
3,Ann Smith,Consumer,3537.6800000000003,334.49,18,3,Tier 2: Core Accounts (Stable Value)
4,Mary Jones,Consumer,1719.6299999999999,-439.97999999999996,14,0,Tier 4: Value Eroding / High Risk
5,Robert Hudson,Home Office,1274.75,309.84999999999997,7,3,Tier 2: Core Accounts (Stable Value)
6,Mary Smith,Consumer,3259.51,893.65,15,2,Tier 1: Champions (High Value)
7,Melissa Wilcox,Corporate,5519.5,963.77,21,2,Tier 1: Champions (High Value)
8,Megan Smith,Corporate,3763.5,529.93,19,2,Tier 1: Champions (High Value)
9,Mary Perez,Consumer,3229.6800000000003,-383.88,14,0,Tier 4: Value Eroding / High Risk
10,Melissa Smith,Corporate,1264.79,-151.21999999999997,8,1,Tier 3: Low Margin/Volume Drivers
11,Mary Huffman,Consumer,2429.65,294.92,12,3,Tier 2: Core Accounts (Stable Value)
12,Christopher Smith,Corporate,6009.35,899.1,28,2,Tier 1: Champions (High Value)
13,Mary Baldwin,Home Office,3185.62,882.26,16,2,Tier 1: Champions (High Value)
14,Katherine Smith,Corporate,2414.7200000000003,127.28,13,3,Tier 2: Core Accounts (Stable Value)
15,Jane Luna,Corporate,239.98000000000002,69.46000000000001,3,1,Tier 3: Low Margin/Volume Drivers
16,Tiffany Smith,Corporate,2069.84,587.6999999999999,15,3,Tier 2: Core Accounts (Stable Value)
17,Mary Robinson,Consumer,4259.66,541.35,17,2,Tier 1: Champions (High Value)
18,Robert Smith,Consumer,2819.7,662.17,12,3,Tier 2: Core Accounts (Stable Value)
19,Stephanie Mitchell,Home Office,4355.62,802.34,24,2,Tier 1: Champions (High Value)
20,Mary Ellis,Consumer,1589.77,-757.64,6,0,Tier 4: Value Eroding / High Risk
21,William Zimmerman,Consumer,2686.75,776.23,16,3,Tier 2: Core Accounts (Stable Value)
22,Joseph Smith,Corporate,2744.6800000000003,823.9300000000001,16,2,Tier 1: Champions (High Value)
23,Benjamin Duarte,Corporate,3551.46,839.98,17,2,Tier 1: Champions (High Value)
24,Mary Smith,Home Office,1969.6399999999999,314.8,10,3,Tier 2: Core Accounts (Stable Value)
25,Paul Richardson,Home Office,929.87,191.81,4,1,Tier 3: Low Margin/Volume Drivers
26,Johnny Hood,Consumer,3209.8,568.65,13,3,Tier 2: Core Accounts (Stable Value)
27,Mary Vincent,Consumer,1015.8000000000001,255.43,7,1,Tier 3: Low Margin/Volume Drivers
28,Timothy Smith,Consumer,2159.76,255.16,7,3,Tier 2: Core Accounts (Stable Value)
29,Mary Humphrey,Consumer,1329.87,-206.62000000000003,5,1,Tier 3: Low Margin/Volume Drivers
30,Barbara Smith,Home Office,1105.89,-47.18000000000001,8,1,Tier 3: Low Margin/Volume Drivers
31,Mary Byrd,Consumer,2809.67,660.55,19,3,Tier 2: Core Accounts (Stable Value)
32,Alice Smith,Corporate,3409.51,846.05,17,2,Tier 1: Champions (High Value)
33,Adam Petersen,Consumer,1229.8700000000001,405.13,5,3,Tier 2: Core Accounts (Stable Value)
34,Mary Smith,Corporate,2989.6800000000003,468.0,16,3,Tier 2: Core Accounts (Stable Value)
35,Margaret Wright,Consumer,2113.82,-506.16,12,0,Tier 4: Value Eroding / High Risk
36,Michelle Carey,Corporate,1389.88,243.2,6,3,Tier 2: Core Accounts (Stable Value)
37,Virginia Conrad,Consumer,1329.76,372.5,10,3,Tier 2: Core Accounts (Stable Value)
38,Mary Smith,Consumer,2649.74,84.13999999999997,16,3,Tier 2: Core Accounts (Stable Value)
39,Juan Mckinney,Consumer,2934.7000000000003,-170.24999999999997,17,0,Tier 4: Value Eroding / High Risk
40,Mary Smith,Consumer,5253.62,507.91,18,2,Tier 1: Champions (High Value)
41,Victoria Mason,Consumer,2931.65,943.73,12,2,Tier 1: Champions (High Value)
42,Ethan Smith,Consumer,3289.66,560.08,18,3,Tier 2: Core Accounts (Stable Value)
43,Mary Herring,Corporate,1159.83,-209.41,6,1,Tier 3: Low Margin/Volume Drivers
44,Howard Smith,Corporate,2989.7400000000002,133.78,16,3,Tier 2: Core Accounts (Stable Value)
45,Mary Nunez,Consumer,3329.7400000000002,482.78999999999996,15,3,Tier 2: Core Accounts (Stable Value)
46,Jennifer Smith,Consumer,3887.62,183.85999999999999,19,3,Tier 2: Core Accounts (Stable Value)
47,Lori Fuller,Home Office,679.96,-139.29,3,1,Tier 3: Low Margin/Volume Drivers
48,Mary Cowan,Consumer,3509.62,228.63,15,3,Tier 2: Core Accounts (Stable Value)
49,Martha Smith,Consumer,749.84,-11.990000000000006,4,1,Tier 3: Low Margin/Volume Drivers
50,Mary Kim,Consumer,2009.65,-46.61,13,1,Tier 3: Low Margin/Volume Drivers
51,Jessica Smith,Home Office,4513.43,1070.74,20,2,Tier 1: Champions (High Value)
52,Mary Lawson,Corporate,2119.77,273.67,9,3,Tier 2: Core Accounts (Stable Value)
53,Katherine Smith,Corporate,3729.57,881.79,14,2,Tier 1: Champions (High Value)
54,Mary Olson,Home Office,2709.7000000000003,694.5,15,3,Tier 2: Core Accounts (Stable Value)
55,Janet Farley,Home Office,4763.400000000001,645.65,22,2,Tier 1: Champions (High Value)
56,Mary Kaiser,Consumer,2529.7,404.15000000000003,15,3,Tier 2: Core Accounts (Stable Value)
57,Mary Smith,Consumer,2159.7,-534.9599999999999,12,0,Tier 4: Value Eroding / High Risk
58,Michael Edwards,Consumer,5829.28,-495.95000000000005,22,0,Tier 4: Value Eroding / High Risk
59,Douglas James,Consumer,1869.75,272.57,10,3,Tier 2: Core Accounts (Stable Value)
60,Mary Gutierrez,Home Office,1859.57,519.1800000000001,10,3,Tier 2: Core Accounts (Stable Value)
61,Margaret Summers,Home Office,1714.75,419.01,9,3,Tier 2: Core Accounts (Stable Value)
62,Mary Oneal,Consumer,1749.8300000000002,548.6,10,3,Tier 2: Core Accounts (Stable Value)
63,Aaron Smith,Home Office,1829.79,446.61,10,3,Tier 2: Core Accounts (Stable Value)
64,Mary Reynolds,Corporate,599.97,122.75,2,1,Tier 3: Low Margin/Volume Drivers
65,Jennifer Smith,Consumer,3975.62,637.75,19,2,Tier 1: Champions (High Value)
66,Mary Booth,Home Office,3809.54,527.39,19,2,Tier 1: Champions (High Value)
67,Samantha Smith,Corporate,1887.77,459.73,8,3,Tier 2: Core Accounts (Stable Value)
68,Mary Oneal,Consumer,1429.82,332.64,7,3,Tier 2: Core Accounts (Stable Value)
69,Megan Smith,Consumer,1651.81,430.96,14,3,Tier 2: Core Accounts (Stable Value)
70,Mary Simmons,Corporate,3309.4900000000002,591.52,18,3,Tier 2: Core Accounts (Stable Value)
71,Charles Smith,Corporate,2987.73,71.53999999999999,19,3,Tier 2: Core Accounts (Stable Value)
72,Frank Gillespie,Consumer,5274.530000000001,726.46,21,2,Tier 1: Champions (High Value)
73,Mary Smith,Home Office,2719.73,-311.45,13,0,Tier 4: Value Eroding / High Risk
74,Alice Rush,Corporate,3349.56,129.82,18,3,Tier 2: Core Accounts (Stable Value)
75,Mary Smith,Consumer,2549.77,-594.9,9,0,Tier 4: Value Eroding / High Risk
76,Joseph Young,Consumer,3329.65,773.11,17,2,Tier 1: Champions (High Value)
77,Shirley Dalton,Corporate,3142.7200000000003,947.0,15,2,Tier 1: Champions (High Value)
78,Jeremy Smith,Home Office,309.96000000000004,86.96000000000001,2,1,Tier 3: Low Margin/Volume Drivers
79,Mary Watkins,Consumer,3674.6800000000003,871.34,18,2,Tier 1: Champions (High Value)
80,Joe Parsons,Corporate,1479.84,-406.91,7,0,Tier 4: Value Eroding / High Risk
81,Mary Smith,Home Office,431.97,-69.62,2,1,Tier 3: Low Margin/Volume Drivers
82,Jonathan Cook,Consumer,2674.54,91.28,15,3,Tier 2: Core Accounts (Stable Value)
83,Mary Wong,Corporate,2494.7200000000003,507.96999999999997,12,3,Tier 2: Core Accounts (Stable Value)
84,Douglas Smith,Consumer,2929.7400000000002,800.99,13,2,Tier 1: Champions (High Value)
85,Mary Perez,Consumer,1929.7,329.57,10,3,Tier 2: Core Accounts (Stable Value)
86,John Smith,Corporate,1469.8700000000001,409.36,9,3,Tier 2: Core Accounts (Stable Value)
87,Gloria Brown,Corporate,2474.69,392.4,12,3,Tier 2: Core Accounts (Stable Value)
88,Mary Henry,Corporate,2499.6800000000003,357.46,16,3,Tier 2: Core Accounts (Stable Value)
89,Sean Smith,Consumer,849.91,-76.37999999999998,7,1,Tier 3: Low Margin/Volume Drivers
90,Mary Hurley,Consumer,3094.81,507.77,16,3,Tier 2: Core Accounts (Stable Value)
91,Ashley Smith,Consumer,3343.73,391.18,17,3,Tier 2: Core Accounts (Stable Value)
92,Alexander Medina,Home Office,2687.56,-48.87,15,0,Tier 4: Value Eroding / High Risk
93,Mary Robbins,Corporate,2069.84,-55.43000000000001,12,1,Tier 3: Low Margin/Volume Drivers
94,Mary Smith,Corporate,2159.8,-214.85,11,0,Tier 4: Value Eroding / High Risk
95,Susan Williams,Corporate,2907.7400000000002,548.21,18,3,Tier 2: Core Accounts (Stable Value)
96,Virginia Smith,Home Office,2789.7200000000003,392.90999999999997,12,3,Tier 2: Core Accounts (Stable Value)
97,Mary Rhodes,Corporate,2514.8,112.26999999999998,11,3,Tier 2: Core Accounts (Stable Value)
98,William Smith,Consumer,3929.6000000000004,-375.21000000000004,20,0,Tier 4: Value Eroding / High Risk
99,Betty Munoz,Consumer,2259.76,313.5,12,3,Tier 2: Core Accounts (Stable Value)
100,George Barrett,Consumer,4104.57,404.11,19,2,Tier 1: Champions (High Value)
101,Mary Briggs,Corporate,1799.8600000000001,367.75,6,3,Tier 2: Core Accounts (Stable Value)
102,Gregory Smith,Corporate,3319.59,893.11,16,2,Tier 1: Champions (High Value)
103,Mary Williams,Corporate,3179.71,378.84,15,3,Tier 2: Core Accounts (Stable Value)
104,Debra Wood,Home Office,599.96,-928.06,2,0,Tier 4: Value Eroding / High Risk
105,Mary Smith,Consumer,1339.93,-348.43,6,0,Tier 4: Value Eroding / High Risk
106,Lauren Freeman,Corporate,1409.8400000000001,-173.98999999999998,8,1,Tier 3: Low Margin/Volume Drivers
107,Mary Weaver,Consumer,2009.63,603.61,11,3,Tier 2: Core Accounts (Stable Value)
108,Joshua Smith,Consumer,2289.7000000000003,482.91,11,3,Tier 2: Core Accounts (Stable Value)
109,Mary Thompson,Corporate,3459.71,51.270000000000024,18,3,Tier 2: Core Accounts (Stable Value)
110,David Miranda,Corporate,2639.7,-455.11,11,0,Tier 4: Value Eroding / High Risk
111,Frank Smith,Corporate,1639.7800000000002,20.02000000000004,7,1,Tier 3: Low Margin/Volume Drivers
